City,Hotel Name,Country,Max Temp,Current Description,Lat,Lng
Kutum,Dibbo areaمنطقة دبو,SD,80.19,scattered clouds,14.2,24.6667
Salalah,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel",OM,78.89,clear sky,17.0151,54.0924
Kavieng,Nusa Island Retreat,PG,82.06,overcast clouds,-2.5744,150.7967
Castro,CHACARA BAILLY,BR,73.08,broken clouds,-24.7911,-50.0119
Hermanus,Misty Waves Boutique Hotel,ZA,63.81,broken clouds,-34.4187,19.2345
Lima,Hotel Kamana,PE,61.05,overcast clouds,-12.0432,-77.0282
Alice Springs,Desert Palms Alice Springs,AU,65.75,light rain,-23.7,133.8833
Bengkulu,Grage Hotel Bengkulu,ID,75.18,moderate rain,-3.8004,102.2655
Kapaa,Sheraton Kauai Coconut Beach Resort,US,78.78,light rain,22.0752,-159.319
Elizabeth City,Hampton Inn Elizabeth City,US,79.05,clear sky,36.2946,-76.2511
Tahta,فندق الزيات,EG,78.71,clear sky,26.7693,31.5021
Cidreira,Hotel Castelo,BR,64.15,broken clouds,-30.1811,-50.2056
Atuona,Villa Enata,PF,76.05,clear sky,-9.8,-139.0333
Mahebourg,Shandrani Beachcomber Resort & Spa,MU,71.89,broken clouds,-20.4081,57.7
Civitavecchia,Hotel Mediterraneo,IT,70.59,clear sky,42.0933,11.7967
Bambous Virieux,Casa Tia Villa,MU,71.85,broken clouds,-20.3428,57.7575
Kasongo-Lunda,,CD,73.4,moderate rain,-6.4667,16.8167
Coihaique,Diego De Almagro Coyhaique,CL,75.81,clear sky,-45.5752,-72.0662
Avera,,US,79.56,overcast clouds,33.194,-82.5271
Katsuura,Katsuura Hotel Mikazuki,JP,68.02,light rain,35.1333,140.3
Rikitea,People ThankYou,PF,69.17,scattered clouds,-23.1203,-134.9692
San Patricio,"Motel 6 Sinton, TX",US,76.89,heavy intensity rain,28.017,-97.5169
Port Elizabeth,39 On Nile Guest House,ZA,67.1,broken clouds,-33.918,25.5701
Hithadhoo,Scoop Guest House,MV,81.68,overcast clouds,-0.6,73.0833
Butaritari,Isles Sunset Lodge,KI,79.95,light rain,3.0707,172.7902
Yulara,Desert Gardens Hotel - Ayers Rock Resort,AU,63.55,scattered clouds,-25.2406,130.9889
Eyl,EYL AQUE SYSTEM,SO,78.75,scattered clouds,7.9803,49.8164
Richards Bay,BON Hotel Waterfront Richards Bay,ZA,73.47,broken clouds,-28.783,32.0377
Marsh Harbour,Abaco Beach Resort,BS,80.69,clear sky,26.5412,-77.0636
Waddan,محل الشريف محمد العايب,LY,73.65,few clouds,29.1614,16.139
Ojinaga,Suites Las Palmas,MX,61.75,overcast clouds,29.5667,-104.4167
Bredasdorp,Bredasdorp Country Manor,ZA,61.47,broken clouds,-34.5322,20.0403
Kindu,Résidence Okanda,CD,70.36,light rain,-2.95,25.95
Half Moon Bay,"The Ritz-Carlton, Half Moon Bay",US,69.19,clear sky,37.4636,-122.4286
Lazaro Cardenas,HOTEL QUINTA ANTIGUA,MX,83.86,moderate rain,17.9583,-102.2
Gat,OlusHome,IL,74.08,clear sky,31.61,34.7642
Georgetown,Cititel Penang,MY,81.23,few clouds,5.4112,100.3354
Port Alfred,The Halyards Hotel & Spa,ZA,64.18,scattered clouds,-33.5906,26.891
Magdiwang,Sanctuary Garden Resort,PH,81.99,overcast clouds,12.491,122.5135
Chuy,Nuevo Hotel Plaza,UY,63.36,broken clouds,-33.6971,-53.4616
Praia,LT Aparthotel,CV,84.74,clear sky,14.9215,-23.5087
Bathsheba,Atlantis Hotel,BB,88.41,scattered clouds,13.2167,-59.5167
Carnarvon,Hospitality Carnarvon,AU,64.53,clear sky,-24.8667,113.6333
Hilo,Hilo Hawaiian Hotel,US,81.25,few clouds,19.7297,-155.09
Sao Joao Da Barra,Pousada Porto De Canoas,BR,82.49,broken clouds,-21.6403,-41.0511
Hoi An,Belle Maison Hadana Hoi An managed by H&K Hospitality,VN,78.76,overcast clouds,15.8794,108.335
Bethel,Courtyard by Marriott Danbury,US,65.48,overcast clouds,41.3712,-73.414
Lagos,,NG,82.72,overcast clouds,6.5833,3.75
Saldanha,Blue Bay Lodge,ZA,62.65,overcast clouds,-33.0117,17.9442
Fortuna,Super 8 by Wyndham Fortuna,US,67.93,few clouds,40.5982,-124.1573
Tres Arroyos,Habitacion Triple con baño y entrada privada,AR,76.15,scattered clouds,-38.3739,-60.2798
Cape Town,"Radisson Blu Hotel Waterfront, Cape Town",ZA,66.09,clear sky,-33.9258,18.4232
Cap Malheureux,Pereybere Hotel & Spa,MU,67.46,clear sky,-19.9842,57.6142
Karoi,Chikangwe Guest houses,ZW,74.12,few clouds,-16.8099,29.6925
Avarua,Paradise Inn,CK,75.25,broken clouds,-21.2078,-159.775
Kruisfontein,Oyster Bay House Rental,ZA,64.89,few clouds,-34.0033,24.7314
Gorontalo,Maqna Hotel by Prasanthi,ID,75.92,overcast clouds,0.5412,123.0595
Ocean City,Biscayne Suites,US,67.01,overcast clouds,39.2776,-74.5746
Sao Filipe,Hotel Xaguate,CV,79.12,overcast clouds,14.8961,-24.4956
Pisco,Hotel San Isidro Oficial,PE,65.01,few clouds,-13.7,-76.2167
Monrovia,Sunset Inn,LR,80.37,broken clouds,6.3005,-10.7969
Isangel,Tanna Lodge,VU,71.71,overcast clouds,-19.55,169.2667
Mount Isa,ibis Styles Mt Isa Verona,AU,76.77,light rain,-20.7333,139.5
Miri,"Mega Hotel, Miri",MY,75.34,moderate rain,4.4148,114.0089
Hat Yai,New Season Hotel,TH,77.18,broken clouds,7.0084,100.4767
Olinda,Flat Quatro Rodas Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553
Vao,Hotel Kou-Bugny,NC,72.66,overcast clouds,-22.6667,167.4833
Betanzos,Hotel Garelos Betanzos,ES,67.12,scattered clouds,43.2804,-8.2147
Bitam,HOTEL JEANNE YEBE BITAM,GA,70.25,broken clouds,2.076,11.5007
Neuquen,Hotel del Comahue,AR,67.89,clear sky,-38.9516,-68.0591
Saint-Philippe,Le four à pain,RE,72.99,broken clouds,-21.3585,55.7679
Culaman,Jasmin Ex House,PH,81.19,overcast clouds,5.9603,125.6586
Cananea,Casas Montoya,MX,63.63,clear sky,30.95,-110.3
Lamar,Kings Inn Paris TX,US,67.98,clear sky,33.6668,-95.5836
Akyab,ဟိုတယ် မန်မိုရီ,MM,80.24,broken clouds,20.15,92.9
Viedma,Hotel Cristal,AR,77.32,broken clouds,-40.8135,-62.9967
Ribeira Grande,Quinta da Meia Eira,PT,63.0,scattered clouds,38.5167,-28.7
Vangaindrano,Hotel Fanilo,MG,68.11,clear sky,-23.35,47.6
Emerald,The Irish Village,AU,70.34,scattered clouds,-23.5333,148.1667
Puerto Ayora,Finch Bay Galapagos Hotel,EC,76.96,overcast clouds,-0.7393,-90.3518
Laguna,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel",US,73.98,clear sky,38.421,-121.4238
Rawson,Hosteria Sampedro,AR,69.35,broken clouds,-43.3002,-65.1023
San Nicolas,NORTHVIEW Hotel,PH,78.71,broken clouds,18.1725,120.5953
Vaini,Keleti Beach Resort,TO,75.36,scattered clouds,-21.2,-175.2
Victoria,Mini Central,HK,79.03,overcast clouds,22.2855,114.1577
Itoman,Southern Beach Hotel & Resort Okinawa,JP,73.42,broken clouds,26.1247,127.6694
Sur,Sur Plaza Hotel,OM,80.11,overcast clouds,22.5667,59.5289
Rio Gallegos,Hotel Santa Cruz,AR,75.25,clear sky,-51.6226,-69.2181
Moindou,Equi-lodge de Moindou,NC,72.54,broken clouds,-21.6924,165.677
Immokalee,Seminole Casino Hotel Immokalee,US,86.95,scattered clouds,26.4187,-81.4173
Dicabisagan,Nancy Montanes Bernardo,PH,78.64,broken clouds,17.0818,122.4157
Tulare,Puppy,US,72.95,clear sky,36.2666,-118.8009
Corinto,Ephira Hotel,GR,66.88,clear sky,37.9407,22.9573
Hualmay,Hotel Villa Kitzia Huacho,PE,66.74,broken clouds,-11.0964,-77.6139
Netarhat,HOTEL PRAKASH,IN,65.64,overcast clouds,23.4833,84.2667
Ferrandina,Hotel degli Ulivi,IT,66.29,clear sky,40.5012,16.4547
Komsomolskiy,Ikathouse,UZ,63.32,scattered clouds,40.4272,71.7189
Inhambane,Oceano,MZ,75.18,few clouds,-23.865,35.3833
Hasaki,Inubosaki Kanko Hotel,JP,63.28,light rain,35.7333,140.8333
Yenagoa,Aridolf Resort Wellness and Spa,NG,78.06,moderate rain,4.9247,6.2642
Dalbandin,Sanjrani House,PK,73.13,clear sky,28.8947,64.4101
Mar Del Plata,Gran Hotel Mar del Plata,AR,61.95,clear sky,-38.0023,-57.5575
Cabo San Lucas,Hotel Tesoro Los Cabos,MX,87.1,few clouds,22.8909,-109.9124
Mayo,Resorts Resource Group International,US,72.12,overcast clouds,38.8876,-76.5119
Ponta Do Sol,Hotel do Campo,PT,74.71,few clouds,32.6667,-17.1
Port Lincoln,Port Lincoln Hotel,AU,60.33,overcast clouds,-34.7333,135.8667
Burriana,Hotel Beatriz,ES,73.71,clear sky,39.889,-0.085
Saint-Georges,Radisson Grenada Beach Resort,GD,85.68,broken clouds,12.0564,-61.7485
Arrecife,Hotel Lancelot,ES,76.98,few clouds,28.963,-13.5477
Siavonga,Lavongora Waterfront Lodge,ZM,83.8,clear sky,-16.5382,28.7088
Kikwit,HOTEL PLACE YALABA,CD,73.54,light rain,-5.041,18.8162
Muros,Apartment Av. Castelao,ES,65.68,few clouds,42.7762,-9.0603
Mongoumba,,CF,72.0,overcast clouds,3.6415,18.5936
Meulaboh,Kost Pria,ID,76.37,overcast clouds,4.1363,96.1285
Poum,,NC,75.0,scattered clouds,-20.2333,164.0167
Malvern,Americas Best Value Inn Malvern,US,68.74,scattered clouds,34.3623,-92.813
Pilar Do Sul,HOTEL CENTRAL,BR,72.61,broken clouds,-23.8131,-47.7164
Hervey Bay,Shelly Bay Resort,AU,69.12,overcast clouds,-25.2986,152.8535
Vila Velha,Hotel Vitória Palace,BR,80.55,few clouds,-20.3297,-40.2925
Marawi,Derogongan Residence,PH,69.73,overcast clouds,7.9986,124.2928
Galle,Amangalla,LK,77.27,overcast clouds,6.0367,80.217
Wajid,xamdihotelresturant114,SO,81.28,overcast clouds,3.8093,43.2471
Port-Gentil,Fengshui Residence,GA,80.56,broken clouds,-0.7193,8.7815
Mopti,,ML,82.44,few clouds,14.6667,-4.0
Linares,Hotel Real,CL,72.18,broken clouds,-35.85,-71.6
Arraial Do Cabo,Pousada Porto Praia,BR,84.16,clear sky,-22.9661,-42.0278
Masvingo,River Side Lodge,ZW,74.64,few clouds,-20.0637,30.8277
Matale,Anil's Inn,LK,70.81,overcast clouds,7.4721,80.6234
Bati,Adem Endris Home,ET,67.8,broken clouds,11.1833,40.0167
Tiarei,Le Rocher de Tahiti,PF,78.82,light rain,-17.5333,-149.3333
Naze,Shishime Hotel,JP,67.12,light rain,28.3667,129.4833
Sambava,Melrose,MG,72.07,few clouds,-14.2667,50.1667
Airai,,TL,62.49,overcast clouds,-8.9266,125.4092
Jalu,صاحبة الفخامة,LY,72.91,few clouds,29.0331,21.5482
Lagoa,Casa Das Faias,PT,61.0,light rain,39.05,-27.9833
Shwebo,MOON SHINE Guest House,MM,76.28,few clouds,22.5667,95.7
Sorong,Waigo Splash Hotel,ID,80.24,broken clouds,-0.8833,131.25
Pringsewu,Urban Style by Front One,ID,74.39,light rain,-5.3582,104.9744
Indiaroba,Pura Vida Bahia,BR,82.22,clear sky,-11.5192,-37.5117
Torbay,Gallows Cove,CA,61.39,mist,47.6666,-52.7314
Kampot,Two Moons Hotel,KH,77.05,overcast clouds,10.6167,104.1833
Xanten,Hövelmann's Restaurant & Hotel,DE,63.21,overcast clouds,51.6667,6.45
Mackay,International Lodge Motel,AU,75.69,scattered clouds,-21.15,149.2
Carauari,Hotel Fellip,BR,83.28,overcast clouds,-4.8828,-66.8958
Bad Windsheim,Flair Hotel zum Storchen,DE,64.35,overcast clouds,49.5,10.4167
Benghazi,Tibesti Hotel,LY,71.55,few clouds,32.1167,20.0667
Comodoro Rivadavia,Austral Hotel,AR,78.66,clear sky,-45.8667,-67.5
Maralal,Ngari Hill Ecolodge,KE,66.11,broken clouds,1.0968,36.698
Knysna,Protea by Marriott Hotel Knysna Quays,ZA,63.37,scattered clouds,-34.0363,23.0471
Lata,Casa Maquia,PT,72.91,scattered clouds,40.1629,-8.3327
Takoradi,Raybow International Hotel,GH,79.14,broken clouds,4.8845,-1.7554
Languyan,,PH,78.51,light rain,5.2618,120.0807
Gemena,Hôtel Goshen,CD,71.98,overcast clouds,3.25,19.7667
Monster,Roompot Kijkduin,NL,61.02,few clouds,52.0258,4.175
Taltal,Residencial Karime,CL,65.32,clear sky,-25.4,-70.4833
Tam Ky,Nhà Nghỉ Phương Hòa,VN,70.39,overcast clouds,15.5667,108.4833
Popondetta,Timos Transit House,PG,72.79,overcast clouds,-8.7537,148.2534
Aizawl,Riak Maw Inn,IN,61.5,scattered clouds,23.7333,92.7167
Hambantota,Bungalow 63,LK,77.34,overcast clouds,6.1241,81.1185
Grand Gaube,Veranda Paul et Virginie Hotel & Spa,MU,72.0,clear sky,-20.0064,57.6608
Bacungan,Sumayang Property,PH,78.85,overcast clouds,9.9106,118.7022
La Roche-Sur-Yon,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)",FR,62.87,overcast clouds,46.6667,-1.4333
Bima,Lambitu Hotel,ID,78.46,moderate rain,-8.4667,118.7167
Annau,"Гостиница ""Уссат инженер""",TM,67.5,scattered clouds,37.8876,58.516
Limbang,Purnama Hotel,MY,75.31,moderate rain,4.75,115.0
Guerrero Negro,"Casa Laguna, Bed & Breakfast",MX,75.6,clear sky,27.9769,-114.0611
Tura,Hotel RIKMAN Continental,IN,69.57,clear sky,25.5198,90.2201
Lorengau,Lorengau Harbourside Hotel,PG,80.01,overcast clouds,-2.0226,147.2712
Faanui,Bora-Bora Pearl Beach Resort & Spa,PF,78.8,light rain,-16.4833,-151.75
Tonantins,Hotel Hortensias,BR,84.25,overcast clouds,-2.8731,-67.8022
Labuhan,DoubleFAG,ID,79.21,light rain,-6.8844,112.2051
Bubaque,"Casa Dora, Bubaque",GW,81.07,broken clouds,11.2833,-15.8333
Demba,Guest House Du Cinquantenaire,CD,70.39,light rain,-5.51,22.2667
Saint George,Best Western Plus Abbey Inn,US,73.94,clear sky,37.1041,-113.5841
Dickinson,Hampton Inn & Suites Houston/League City,US,72.03,broken clouds,29.4608,-95.0513
Ancud,Hotel Arena Gruesa,CL,77.23,clear sky,-41.8697,-73.8203
Tabas,شرکت معماری مهراز شایگان آراد,IR,78.03,few clouds,33.5959,56.9244
Asosa,Blendana Hotel Assosa,ET,60.01,light rain,10.0667,34.5333
Moyale,La Tahzan Guest House,KE,73.62,overcast clouds,3.5167,39.0584
San Ramon,San Ramon Marriott,US,67.77,clear sky,37.7799,-121.978
Xai-Xai,Complexo da Familia,MZ,73.54,overcast clouds,-25.0519,33.6442
Mantua,Hotel la Favorita,IT,67.15,few clouds,45.1667,10.7833
Winslow,Best Western Plus Winslow Inn,US,61.43,scattered clouds,35.0242,-110.6974
Port Hedland,The Esplanade Hotel,AU,68.05,clear sky,-20.3167,118.5667
East London,Tu Casa,ZA,68.94,few clouds,-33.0153,27.9116
Challans,Citotel Le Challans,FR,64.6,overcast clouds,46.8436,-1.8749
Pasighat,Siang Guest House,IN,69.98,clear sky,28.0667,95.3333
Koumac,Le Monitel,NC,71.91,scattered clouds,-20.5667,164.2833
Dwarka,Hotel Narayan Avezika Comfort,IN,83.23,clear sky,22.2394,68.9678
Buraydah,Mövenpick Qassim,SA,82.85,clear sky,26.326,43.975
Riyadh,"InterContinental Riyadh, an IHG Hotel",SA,82.54,broken clouds,24.6877,46.7219
San Cristobal,Pirineos,VE,78.98,overcast clouds,7.7669,-72.225
Kilindoni,Bustani B&B,TZ,76.5,few clouds,-7.9139,39.6668
Belmonte,Pousada Monte Carmelo O Pão,BR,79.75,scattered clouds,-15.8631,-38.8828
Ascension,Highland Inn,US,80.04,clear sky,30.2169,-90.9001
Lillooet,Hotel Victoria,CA,72.37,clear sky,50.6856,-121.942
Waingapu,Pondok Wisata Elim,ID,79.68,overcast clouds,-9.6567,120.2641
Ilo,Torreblanca Hotel,PE,67.06,clear sky,-17.6394,-71.3375
Bereda,Pazo de Verdes,ES,62.15,scattered clouds,43.2686,-7.5406
Ishigaki,Hotel Peace Land Ishigakijima,JP,71.73,mist,24.3448,124.1572
